Tên tác giả,Tên tác phẩm,Năm sáng tác,Tên tác giả ,Thể loại,Khu vực
Nam Cao,Chí Phèo,1941,Nam Cao,truyện ngắn,Việt Nam
Nam Cao,Lão Hạc,1943,Nam Cao,truyện ngắn,Việt Nam
Nam Cao,Đời thừa,1943,Nam Cao,truyện ngắn,Việt Nam
Phạm Duy Tốn,Sống chết mặc bay,1918,Phạm Duy Tốn,truyện ngắn,Việt Nam
Nguyễn Công Hoan,Tinh thần thể dục,1939,Nguyễn Công Hoan,truyện ngắn,Việt Nam
Kim Lân,Vợ nhặt,1962,Kim Lân,truyện ngắn,Việt Nam
Kim Lân,Làng,1948,Kim Lân,truyện ngắn,Việt Nam
Nguyễn Quang Sáng,Chiếc lược ngà,1966,Nguyễn Quang Sáng,truyện ngắn,Việt Nam
Nguyễn Trung Thành,Rừng xà nu,1965,Nguyễn Trung Thành,truyện ngắn,Việt Nam
Tô Hoài,Vợ chồng A Phủ,1952,Tô Hoài,truyện ngắn,Việt Nam
Lê Minh Khuê,Những ngôi sao xa xôi,1971,Lê Minh Khuê,truyện ngắn,Việt Nam
Thanh Tịnh,Tôi đi học,1941,Thanh Tịnh,truyện ngắn,Việt Nam
Edgar Allan Poe,The Tell-Tale Heart,1843,Edgar Allan Poe,truyện ngắn,Nước ngoài
Edgar Allan Poe,The Fall of the House of Usher,1839,Edgar Allan Poe,truyện ngắn,Nước ngoài
O. Henry,The Gift of the Magi,1905,O. Henry,truyện ngắn,Nước ngoài
O. Henry,The Last Leaf,1907,O. Henry,truyện ngắn,Nước ngoài
Guy de Maupassant,The Necklace,1884,Guy de Maupassant,truyện ngắn,Nước ngoài
Anton Chekhov,The Lady with the Dog,1899,Anton Chekhov,truyện ngắn,Nước ngoài
Shirley Jackson,The Lottery,1948,Shirley Jackson,truyện ngắn,Nước ngoài
William Faulkner,A Rose for Emily,1930,William Faulkner,truyện ngắn,Nước ngoài
Ernest Hemingway,Hills Like White Elephants,1927,Ernest Hemingway,truyện ngắn,Nước ngoài
James Joyce,The Dead,1914,James Joyce,truyện ngắn,Nước ngoài
Nikolai Gogol,The Overcoat,1842,Nikolai Gogol,truyện ngắn,Nước ngoài
Stephen Crane,The Open Boat,1897,Stephen Crane,truyện ngắn,Nước ngoài
Katherine Mansfield,The Garden Party,1922,Katherine Mansfield,truyện ngắn,Nước ngoài
Ngô Tất Tố,Tắt đèn,1937,Ngô Tất Tố,tiểu thuyết,Việt Nam
Vũ Trọng Phụng,Số đỏ,1936,Vũ Trọng Phụng,tiểu thuyết,Việt Nam
Vũ Trọng Phụng,Giông tố,1936,Vũ Trọng Phụng,tiểu thuyết,Việt Nam
Vũ Trọng Phụng,Làm đĩ,1936,Vũ Trọng Phụng,tiểu thuyết,Việt Nam
Tô Hoài,Dế Mèn phiêu lưu ký,1941,Tô Hoài,tiểu thuyết,Việt Nam
Đoàn Giỏi,Đất rừng phương Nam,1957,Đoàn Giỏi,tiểu thuyết,Việt Nam
Bảo Ninh,Nỗi buồn chiến tranh,1990,Bảo Ninh,tiểu thuyết,Việt Nam
Phùng Quán,Tuổi thơ dữ dội,1988,Phùng Quán,tiểu thuyết,Việt Nam
Nguyên Hồng,Bỉ vỏ,1938,Nguyên Hồng,tiểu thuyết,Việt Nam
Nhất Linh,Đoạn tuyệt,1934,Nhất Linh,tiểu thuyết,Việt Nam
Khái Hưng,Hồn bướm mơ tiên,1933,Khái Hưng,tiểu thuyết,Việt Nam
Nguyên Ngọc,Đất nước đứng lên,1955,Nguyên Ngọc,tiểu thuyết,Việt Nam
Lê Lựu,Thời xa vắng,1986,Lê Lựu,tiểu thuyết,Việt Nam
Miguel de Cervantes,Don Quixote,1605,Miguel de Cervantes,tiểu thuyết,Nước ngoài
Daniel Defoe,Robinson Crusoe,1719,Daniel Defoe,tiểu thuyết,Nước ngoài
Jonathan Swift,Gulliver's Travels,1726,Jonathan Swift,tiểu thuyết,Nước ngoài
Jane Austen,Pride and Prejudice,1813,Jane Austen,tiểu thuyết,Nước ngoài
Mary Shelley,Frankenstein,1818,Mary Shelley,tiểu thuyết,Nước ngoài
Charlotte Brontë,Jane Eyre,1847,Charlotte Brontë,tiểu thuyết,Nước ngoài
Herman Melville,Moby-Dick,1851,Herman Melville,tiểu thuyết,Nước ngoài
Fyodor Dostoevsky,Crime and Punishment,1866,Fyodor Dostoevsky,tiểu thuyết,Nước ngoài
Leo Tolstoy,War and Peace,1869,Leo Tolstoy,tiểu thuyết,Nước ngoài
F. Scott Fitzgerald,The Great Gatsby,1925,F. Scott Fitzgerald,tiểu thuyết,Nước ngoài
George Orwell,Nineteen Eighty-Four,1949,George Orwell,tiểu thuyết,Nước ngoài
Gabriel García Márquez,One Hundred Years of Solitude,1967,Gabriel García Márquez,tiểu thuyết,Nước ngoài
Nguyễn Du,Truyện Kiều,1820,Nguyễn Du,thơ,Việt Nam
Nguyễn Đình Chiểu,Lục Vân Tiên,1864,Nguyễn Đình Chiểu,thơ,Việt Nam
Tố Hữu,Từ ấy,1938,Tố Hữu,thơ,Việt Nam
Tố Hữu,Việt Bắc,1954,Tố Hữu,thơ,Việt Nam
Quang Dũng,Tây Tiến,1948,Quang Dũng,thơ,Việt Nam
Hàn Mặc Tử,Đây thôn Vĩ Dạ,1938,Hàn Mặc Tử,thơ,Việt Nam
Huy Cận,Tràng giang,1939,Huy Cận,thơ,Việt Nam
Xuân Diệu,Vội vàng,1938,Xuân Diệu,thơ,Việt Nam
Xuân Quỳnh,Sóng,1967,Xuân Quỳnh,thơ,Việt Nam
